team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,air_yards,receiving_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,rush_pct_off,pass_pct_off,yps,adot,air_yards_share,target_share,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,total_tds,td_pct,total_yards,yptouch,interception_def,fumble_def,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,rush_pct_def,pass_pct_def
JAX,2012,REG,5115,569.0,328.0,241.0,3746.0,4996.0,3746.0,1544.0,360,1369.0,157.0,76.0,8.0,20.0,17.0,20.0,1001,355,638,272.0,30.0,0.35,0.64,5.11,8.78,1.0,1.0,0.576,0.03,0.035,6.58,0.035,6.58,8.78,11.42,0.022,3.8,48.0,0.04,8861.0,7.05,12.0,17.0,794.0,121.0,32.0,20.0,61.0,0,1101,527,553,49.625,7.5625,2.0,1.25,3.8125,0.0,0.48,0.5
KC,2012,REG,5332,455.0,273.0,182.0,2937.0,3919.0,2937.0,1261.0,500,2395.0,144.0,118.0,11.0,8.0,20.0,25.0,1016,495,509,220.0,30.0,0.49,0.5,5.25,8.613,1.0,1.0,0.6,0.044,0.018,6.45,0.018,6.45,8.61,10.76,0.022,4.79,27.0,0.02,8269.0,6.73,7.0,20.0,708.0,91.0,34.0,27.0,51.0,1,973,466,490,44.25,5.6875,2.125,1.6875,3.1875,0.0625,0.48,0.5
LA,2012,REG,5497,543.0,332.0,211.0,3783.0,4584.0,3779.0,1540.0,411,1714.0,189.0,79.0,5.0,22.0,14.0,21.0,1008,398,590,270.0,18.0,0.39,0.59,5.45,8.442,1.0,1.0,0.611,0.026,0.041,6.97,0.041,6.96,8.44,11.38,0.012,4.17,49.0,0.04,9276.0,7.21,17.0,19.0,770.0,107.0,29.0,52.0,84.0,5,1042,431,598,48.125,6.6875,1.8125,3.25,5.25,0.3125,0.41,0.57
LAC,2012,REG,5067,513.0,338.0,175.0,3606.0,3961.0,3606.0,1796.0,411,1461.0,184.0,81.0,6.0,26.0,15.0,24.0,988,403,575,309.0,18.0,0.41,0.58,5.13,7.721,1.0,1.0,0.659,0.029,0.051,7.03,0.051,7.03,7.72,10.67,0.015,3.55,58.0,0.05,8673.0,6.87,14.0,29.0,612.0,208.0,156.0,38.0,67.0,7,1015,401,604,38.25,13.0,9.75,2.375,4.1875,0.4375,0.4,0.6
LV,2012,REG,5712,613.0,376.0,237.0,4292.0,5300.0,4292.0,2027.0,376,1420.0,200.0,72.0,4.0,24.0,16.0,21.0,1035,373,655,292.0,12.0,0.36,0.63,5.52,8.646,1.0,1.0,0.613,0.026,0.039,7.0,0.039,7.0,8.65,11.41,0.011,3.78,52.0,0.04,10004.0,7.33,11.0,15.0,646.0,162.0,70.0,25.0,83.0,0,995,425,549,40.375,10.125,4.375,1.5625,5.1875,0.0,0.43,0.55
MIA,2012,REG,5227,491.0,293.0,198.0,3425.0,4341.0,3425.0,1271.0,440,1802.0,158.0,93.0,17.0,13.0,13.0,28.0,983,420,541,284.0,12.0,0.43,0.55,5.32,8.841,1.0,1.0,0.597,0.026,0.026,6.98,0.026,6.98,8.84,11.69,0.039,4.1,43.0,0.04,8652.0,7.07,10.0,19.0,702.0,136.0,43.0,42.0,89.0,0,1075,419,644,43.875,8.5,2.6875,2.625,5.5625,0.0,0.39,0.6
MIN,2012,POST,347,29.0,11.0,18.0,180.0,387.0,180.0,59.0,29,167.0,6.0,11.0,0.0,1.0,1.0,1.0,62,29,32,10.0,0.0,0.47,0.52,5.6,13.345,1.0,1.0,0.379,0.034,0.034,6.21,0.034,6.21,13.34,16.36,0.0,5.76,2.0,0.03,527.0,7.64,0.0,1.0,43.0,16.0,10.0,3.0,5.0,0,67,31,36,44.294117647058826,10.117647058823527,2.647058823529412,2.764705882352941,5.411764705882353,0.1764705882352941,0.46,0.54
MIN,2012,REG,5569,471.0,300.0,171.0,2935.0,3344.0,2935.0,1610.0,487,2634.0,163.0,113.0,17.0,18.0,12.0,24.0,1004,471,517,356.0,6.0,0.47,0.51,5.55,7.1,8.641,16.241,0.637,0.025,0.038,6.23,0.038,6.23,7.1,9.78,0.035,5.41,53.0,0.04,8504.0,6.76,10.0,19.0,710.0,156.0,35.0,44.0,87.0,3,1087,419,655,44.294117647058826,10.117647058823527,2.647058823529412,2.764705882352941,5.411764705882353,0.1764705882352941,0.39,0.6
NE,2012,POST,894,92.0,54.0,38.0,664.0,746.0,664.0,333.0,52,230.0,34.0,14.0,2.0,4.0,2.0,2.0,147,51,93,54.0,0.0,0.35,0.63,6.08,8.109,1.0,1.0,0.587,0.022,0.043,7.22,0.043,7.22,8.11,12.3,0.038,4.42,10.0,0.05,1558.0,7.87,1.0,3.0,90.0,25.0,0.0,3.0,8.0,0,147,56,91,42.5,11.0,1.1111111111111112,2.2222222222222223,4.333333333333333,0.2777777777777778,0.38,0.62
NE,2012,REG,7028,632.0,402.0,230.0,4844.0,5531.0,4844.0,2237.0,523,2184.0,256.0,151.0,27.0,34.0,9.0,15.0,1192,515,666,519.0,0.0,0.43,0.56,5.9,8.752,7.414,6.87,0.636,0.014,0.054,7.66,0.054,7.66,8.75,12.05,0.052,4.18,95.0,0.06,11872.0,7.62,20.0,41.0,675.0,173.0,20.0,37.0,70.0,5,1046,410,627,42.5,11.0,1.1111111111111112,2.2222222222222223,4.333333333333333,0.2777777777777778,0.39,0.6
