Unnamed: 0,team,season,season_type,total_off_yards,pass_attempts,complete_pass,incomplete_pass,passing_yards,receiving_yards,air_yards,yards_after_catch,rush_attempts,rushing_yards,first_down_pass,first_down_rush,rush_touchdown,pass_touchdown,interception_off,fumble_off,fumble_lost,total_tds,total_yards,offense_snaps,rush_snaps_off,pass_snaps_off,total_off_points,total_def_points,yps,td_pct,yptouch,rush_pct_off,pass_pct_off,comp_pct,int_pct,pass_td_pct,ypa,rec_td_pct,yptarget,ayptarget,ypr,rush_td_pct,ypc,adot,air_yards_share,target_share,safety,interception_def,fumble_def,fumble_forced,solo_tackle,assist_tackle,tackle_with_assist,sack,qb_hit,def_touchdown,defense_snaps,rush_snaps_def,pass_snaps_def,win,loss,tie,win_pct,rush_pct_def,pass_pct_def,average_safety,average_interception,average_fumble,average_fumble_forced,average_solo_tackle,average_assist_tackle,average_tackle_with_assist,average_sack,average_qb_hit,average_def_touchdown,QB_Fantasy_Pts,RB_Fantasy_Pts,WR_Fantasy_Pts
10,DET,2025,REG,2806,241,178,63,1918,1918,1582,1058,227,1001,96,53,11,18,3,5,3,29,3752,486,227,259,231,2,7.762309880676765,0.0599559099981788,9.303978049980817,0.4673939805704881,0.5326060194295119,0.7393682878596671,0.012145102662344,0.0797712263229504,8.124416329696501,0.0828257144161034,8.462653897610991,6.985014349791237,10.958236325385696,0.0436519516856404,4.231986720455562,6.676539816626024,0.589016250174497,0.5056928765280059,1,8,0,9,290,198,8,28.0,51,0,447,184,263,5,3,0,0.625,0.4161849021638262,0.5838150978361738,0.0636904761904761,0.5979166666666667,0.0,0.7690476190476191,32.23065476190476,18.945535714285715,1.1645833333333333,2.3523809523809525,4.0875,0.0,164.39999999999998,291.22,335.4
11,GB,2025,REG,2883,250,177,73,2071,2071,1919,1088,228,903,97,55,10,13,3,5,2,23,3669,489,228,261,204,0,7.487450389333762,0.0471377837083165,9.010515034514572,0.4691032674346587,0.5308967325653412,0.7066917895857674,0.0131860706860706,0.0524022549956404,8.295509881154977,0.056025826025826,8.810186295186295,8.336283577533578,11.765310017953672,0.044562538910365,3.927165285626015,7.818976563402088,0.6657407837172497,0.5052551926175546,0,3,1,3,279,270,14,22.0,59,0,475,181,294,6,2,0,0.75,0.3834118764586789,0.6165881235413211,0.0,0.4607142857142857,0.0178571428571428,0.056547619047619,32.45446428571429,28.40833333333333,2.466666666666667,2.810416666666667,7.924107142857142,0.0,142.84,202.0,251.0
12,HOU,2025,REG,2569,276,180,96,1862,1862,2189,798,214,871,86,43,3,11,5,2,2,14,3356,509,214,295,162,0,6.666134603816095,0.0279372819516518,8.811718590553442,0.4203111032546125,0.5796888967453875,0.6636311912703496,0.0169647256113421,0.0425166875225994,7.014753919303852,0.0432609471903226,7.181138110940373,8.037847197905698,10.649568617880975,0.0139382547277284,4.046721415839063,7.815485542453163,0.8996873380891812,0.5570932178149995,0,9,0,5,272,187,13,17.0,41,0,436,182,254,3,5,0,0.375,0.4130663386178091,0.5869336613821908,0.0,0.5178571428571428,0.0,0.618452380952381,33.00922619047619,18.17559523809524,1.844642857142857,2.4086309523809524,4.914880952380953,0.0,162.06,167.4,325.2
13,IND,2025,REG,3450,298,205,93,2413,2413,2517,1017,233,1130,122,75,19,14,6,5,3,34,4447,545,233,312,280,6,8.24931387604264,0.0651531380389231,10.291968403179249,0.4284353842417162,0.5715646157582838,0.6939819201745034,0.0171043771043771,0.0487735492507134,8.198946709069803,0.0508549750109816,8.477505839955784,8.655076130096987,11.816961271028593,0.0849181612781282,4.964224555955105,8.348902488923345,0.7381462206214329,0.5544747581514387,0,10,1,3,350,252,12,26.0,65,1,546,198,348,7,2,0,0.7777777777777778,0.3633477299322726,0.6366522700677274,0.0,1.1928571428571428,0.0,0.4002645502645502,30.76256613756614,23.06164021164021,1.6708994708994709,2.2654761904761904,5.119179894179895,0.1353174603174603,201.92,302.5,341.6
14,JAX,2025,REG,2711,293,175,118,1840,1840,2382,813,221,989,86,65,9,9,6,4,1,19,3599,535,221,314,164,6,6.773462896624661,0.0365765784883431,9.1384188421119,0.4160410267027914,0.5839589732972086,0.6100306937291046,0.0217861096051323,0.0305496351766513,6.372166463359537,0.0312353083781335,6.542148568143872,8.233457958406957,10.53923974338019,0.0367731227106227,4.44255110599683,8.009813748079877,0.8897997905620157,0.5632458858501336,0,11,2,5,267,221,13,10.0,39,1,477,181,296,4,4,0,0.5,0.3807988564879082,0.6192011435120918,0.0,1.7723214285714286,0.0773809523809523,0.7455357142857143,29.09642857142857,24.28363095238096,0.8764880952380952,1.3282738095238096,4.997916666666667,0.0636904761904761,150.12,186.4,383.8
15,KC,2025,REG,3331,316,204,112,2349,2349,2632,1175,245,1091,117,80,11,17,5,7,0,28,4331,578,245,333,233,0,7.566950344704248,0.0479232819598201,9.952805969322,0.419150145358574,0.580849854641426,0.6441507956869358,0.0163453662934195,0.054844304792358,7.450695939045021,0.0575315380235578,7.872979005576822,8.86200248550721,11.743702252409149,0.0512854806452985,4.610065510004286,8.332755034135333,0.8254478411879835,0.5548682104691289,0,6,1,4,304,255,7,18.0,48,0,467,218,249,6,3,0,0.6666666666666666,0.4592990266503813,0.5407009733496186,0.0,0.4671957671957672,0.0297619047619047,0.4346560846560846,32.63875661375661,21.59669312169312,1.1787037037037038,1.8813492063492063,4.656878306878308,0.0,210.86,175.8,354.5
16,LA,2025,REG,2959,275,184,91,2147,2147,2437,765,218,895,106,59,5,21,2,7,5,26,3652,506,218,288,209,0,7.187213112914301,0.0509644268909759,9.146404040813715,0.4288268414994032,0.5711731585005968,0.6707194866421115,0.007464349376114,0.0757361946945705,7.7405202449388,0.0772558357082375,7.921827723030827,8.934514177530044,11.4823422315545,0.0233417593528817,4.13280853166166,8.753202766721998,0.8435488003640507,0.5543894642286205,0,5,0,8,300,224,18,27.0,60,0,485,204,281,6,2,0,0.75,0.4191645258893592,0.5808354741106408,0.0,0.5526785714285714,0.0,0.85,33.91994047619048,23.96875,2.438988095238096,3.0476190476190474,6.331547619047619,0.0,,,
17,LAC,2025,REG,3371,329,223,106,2434,2434,2595,1040,233,1116,116,65,4,18,8,8,3,22,4330,591,233,358,213,0,7.339725984988082,0.0373263197859972,9.588328562524994,0.3951273270829722,0.6048726729170277,0.6849279389767666,0.0234673898707683,0.0593801987640081,7.588684494584219,0.0607458984243469,7.777691892221477,8.155936648538558,11.069002250137473,0.0188029455471315,5.121085276576233,7.943225693199232,0.7664927632761516,0.5783539084397268,0,7,0,4,311,219,11,26.0,49,0,474,201,273,6,3,0,0.6666666666666666,0.420114709834861,0.5798852901651389,0.0,0.7313492063492064,0.0,0.1826719576719576,32.234920634920634,22.180820105820104,1.1837301587301587,2.303174603174603,5.31957671957672,0.0,213.66000000000005,178.1,424.3
18,LV,2025,REG,2454,270,180,90,1852,1852,1619,1063,214,787,90,46,4,11,12,4,2,15,3566,511,214,297,137,0,7.0180770239871,0.0285925815842097,8.989573929416897,0.4208397694844624,0.5791602305155377,0.6691427611511914,0.0448609142807415,0.0415711665821904,6.779290679735237,0.0433506177976048,7.023716314008325,5.835830396196824,10.054100008020956,0.0161305256869773,3.5081524477534667,5.638200462281468,0.6443992872220305,0.5486352206210652,0,6,0,5,348,251,19,17.0,37,0,550,252,298,2,7,0,0.2222222222222222,0.454768638728834,0.545231361271166,0.0,0.4624338624338623,0.0,0.6136243386243385,33.50952380952381,24.96283068783069,2.24484126984127,2.1083333333333334,4.607804232804233,0.0,114.88,160.20000000000002,165.5
19,MIA,2025,REG,2623,289,196,93,1872,1872,1924,973,197,875,99,50,4,15,11,10,3,19,3990,506,197,309,172,0,7.955517083015642,0.037370357643296,10.389622007017728,0.3826176239865186,0.6173823760134813,0.6800326211727223,0.0375401309106242,0.0550406784124895,6.505142010625618,0.0561201000801464,6.714858694994422,6.799281127508779,9.46810310101676,0.018610684417136,4.475130199323748,6.568087581308908,0.7712655987038541,0.595740544049942,0,1,0,6,344,239,17,17.0,36,0,509,262,247,2,7,0,0.2222222222222222,0.5139618273303842,0.4860381726696158,0.0,0.0705026455026455,0.0,0.4619047619047619,35.67989417989418,25.10595238095238,1.719179894179894,1.6749999999999998,2.788888888888889,0.0,140.57999999999998,251.9,300.92
